ID,Holiday,Temp,Rain,Snow,Cloud,Weather Main,Weather Detail,Date Time,Traffic Volume
42994,None,289.72,0,0,90,Mist,"The mist spreads, smooth despite its writhen mass, dividing neatly and travelling down in four directions",5/23/2018 7:00,6641
42585,None,270.21,0,0,90,Clouds,"A fine, misty rain is falling lightly from the overcast sky, which hangs in a looming shade of dull grey",2/2/2016 6:00,5687
35078,None,272.56,0,0,90,Clouds,"A fine, misty rain is falling lightly from the overcast sky, which hangs in a looming shade of dull grey",3/25/2013 16:00,5873
28161,None,289.15,0,0,75,Fog,"The span of the city highway, covered in fog, hints at the approach of winter",8/10/2017 6:00,5800
11544,None,300.79,0,0,1,Clear,It is afternoon and the sun is baking down from a clear sky,8/16/2018 12:00,4961
12953,None,277.35,0,0,40,Clouds,You can now only see scattered clouds remaining in the sky,4/27/2018 4:00,849
32606,None,281.48,0,0,20,Clouds,"Outside, thunder crashed, though there are few clouds in the day sky",10/31/2012 17:00,5821
33296,None,295.41,0,0,75,Clouds,"Grey broken clouds rolled in from the south, deep rumbles of thunder accompanying them.",7/26/2014 4:00,460
23966,None,278.72,0,0,1,Clear,It is afternoon and the sun is baking down from a clear sky,5/4/2016 6:00,6151
32158,None,275.03,0,0,90,Mist,"The mist spreads, smooth despite its writhen mass, dividing neatly and travelling down in four directions",10/26/2012 11:00,5341
39949,None,281.48,0,0,90,Mist,A mist lightly dusts the thick greenery of the trees that cover the surrounding hills,4/3/2017 4:00,812
1069,None,277.28,0,0,1,Clear,"By first light on race day, the sky is clear, and it's already pushing 80 degrees",11/8/2015 2:00,589
7529,None,292.95,0,0,75,Clouds,"Grey broken clouds rolled in from the south, deep rumbles of thunder accompanying them.",5/26/2014 2:00,449
33240,None,274.75,0,0,1,Clear,"Looking out the window, the sun is low in the clear sky, but it's still a few of hours until nightfall",3/21/2017 16:00,6657
25324,None,290.48,0,0,90,Haze,A blue haze is cast over the city as the last moonbeam pierced the skies,9/2/2017 5:00,745
33450,None,264.38,0,0,90,Clouds,"There is a slight overcast of clouds, but the predicted rain is yet to come.",1/1/2016 5:00,586
47226,None,301.01,0,0,0,Clear,"Looking out the window, the sun is low in the clear sky, but it's still a few of hours until nightfall",6/9/2016 16:00,6642
32232,None,269.75,0,0,90,Snow,"Farther northeast, light snow extends from much through the city",1/25/2018 11:00,4529
23682,None,275.22,0,0,90,Mist,"The mist spreads, smooth despite its writhen mass, dividing neatly and travelling down in four directions",11/2/2017 0:00,611
21110,None,271.95,0,0,90,Mist,A mist lightly dusts the thick greenery of the trees that cover the surrounding hills,12/22/2015 6:00,5276
38071,None,285.95,0,0,1,Clear,"By first light on race day, the sky is clear, and it's already pushing 80 degrees",6/24/2017 8:00,3141
34581,None,275.82,0,0,90,Clouds,"A fine, misty rain is falling lightly from the overcast sky, which hangs in a looming shade of dull grey",11/29/2016 12:00,4533
17900,None,286.89,0.25,0,75,Rain,"As if on cue, there was a soft thunderclap and a light rain started",9/21/2018 5:00,2919
26852,None,294.15,0,0,1,Clear,"Much as I delight in really dramatic sunsets, there's a special, quiet joy to be had when the sky is clear of clouds",9/17/2016 18:00,4019
23271,None,265.22,0,0,40,Mist,"The day dawned gray and chill, a thin mist turning city's usually dry air damp",2/3/2016 9:00,3853
11518,None,304.61,0,0,75,Clouds,"The day is a windy one, with broken clouds drifting swiftly across the face of a three-quarter moon",5/27/2018 17:00,3266
5419,None,263.09,0,0,1,Clear,"Much as I delight in really dramatic sunsets, there's a special, quiet joy to be had when the sky is clear of clouds",1/2/2016 5:00,610
18184,None,294.61,0.25,0,90,Rain,"As if on cue, there was a soft thunderclap and a light rain started",9/1/2018 6:00,1529
6420,None,263.04,0,0,64,Clouds,"The day is a windy one, with broken clouds drifting swiftly across the face of a three-quarter moon",11/12/2013 9:00,5237
28422,None,292.78,0,0,1,Clear,"By first light on race day, the sky is clear, and it's already pushing 80 degrees",8/22/2015 8:00,2832
47792,None,263.08,0,0,90,Snow,"It is now steadily snowing, but thankfully we're expected to get only a few inches.",1/14/2018 16:00,2769
17221,None,247.84,0,0,5,Clear,It is afternoon and the sun is baking down from a clear sky,12/30/2017 7:00,1216
38385,None,249.27,0,0,1,Clear,It is afternoon and the sun is baking down from a clear sky,2/26/2014 4:00,790
33778,None,281.58,0,0,20,Fog,"We see the northern coast and the southern end of the city, both faint and shadowy in the fog and distance",10/6/2017 6:00,5757
8343,None,261.48,0,0,1,Clear,"By first light on race day, the sky is clear, and it's already pushing 80 degrees",2/16/2014 3:00,323
7923,None,259.82,0,0,1,Clear,"The sky is clear and blue, with a few odd clouds scattered here and there for effect",1/14/2017 10:00,3530
